company_id,company_name,industry,company_size,customer_segment,country,region,acquisition_channel,plan,billing_cycle,monthly_price,total_revenue,total_profit,total_payments,churn_flag,customer_lifetime_days,customer_value_segment
CMP_000001,"Rodriguez, Figueroa and Sanchez",Healthcare,Enterprise,Mid-Market,India,Asia-Pacific,LinkedIn Ads,Enterprise,Monthly,1500.00,15000.00,13050.00,10,0,1051,High Value
CMP_000002,Doyle Ltd,Finance,Startup,SMB,Brazil,Latin America,Referral,Starter,Monthly,49.00,588.00,270.36,12,0,1996,Low Value
CMP_000003,"Mcclain, Miller and Henderson",Professional Services,Startup,Enterprise,Kenya,Africa,Referral,Starter,Monthly,49.00,490.00,225.30,10,0,1514,Low Value
CMP_000004,Davis and Sons,Finance,Small Business,SMB,South Africa,Africa,Email Marketing,Starter,Annual,529.20,5821.20,5371.52,11,0,2188,Medium Value
CMP_000005,"Guzman, Hoffman and Baldwin",Retail,Small Business,Enterprise,Australia,Asia-Pacific,LinkedIn Ads,Professional,Monthly,199.00,1791.00,1287.27,9,0,1695,Low Value
CMP_000006,"Gardner, Robinson and Lawrence",Technology,Enterprise,Enterprise,Canada,North America,Partner,Business,Monthly,499.00,5489.00,5049.33,11,0,933,Medium Value
CMP_000007,Blake and Sons,Retail,Small Business,SMB,Chile,Latin America,LinkedIn Ads,Starter,Monthly,49.00,588.00,270.36,12,0,2280,Low Value
CMP_000009,Garcia-James,Education,Enterprise,Mid-Market,Chile,Latin America,LinkedIn Ads,Starter,Monthly,49.00,588.00,270.36,12,0,1919,Low Value
CMP_000011,Blair PLC,Technology,Mid-Market,SMB,Brazil,Latin America,Email Marketing,Business,Monthly,499.00,5489.00,5049.33,11,0,1178,Medium Value
CMP_000012,Dudley Group,Healthcare,Startup,SMB,France,Europe,Referral,Business,Monthly,499.00,5489.00,5049.33,11,0,1995,Medium Value
CMP_000013,Arnold Ltd,Professional Services,Small Business,Enterprise,United States,North America,Content Marketing,Enterprise,Monthly,1500.00,18000.00,15660.00,12,0,1375,High Value
CMP_000016,Galloway-Wyatt,Education,Startup,SMB,Germany,Europe,Organic Search,Business,Annual,5389.20,48502.80,46822.68,9,0,1055,High Value
CMP_000017,James Group,Professional Services,Startup,SMB,Spain,Europe,Partner,Starter,Monthly,49.00,490.00,225.30,10,0,1764,Low Value
CMP_000018,"Flowers, Martin and Kelly",Healthcare,Startup,Enterprise,Brazil,Latin America,Partner,Enterprise,Monthly,1500.00,18000.00,15660.00,12,0,1583,High Value
CMP_000019,"Adams, Zuniga and Wong",Technology,Mid-Market,SMB,Spain,Europe,Partner,Starter,Monthly,49.00,539.00,247.83,11,0,793,Low Value
CMP_000021,Gray-Mayo,Technology,Small Business,SMB,Brazil,Latin America,Organic Search,Professional,Monthly,199.00,2189.00,1573.33,11,0,1122,Low Value
CMP_000022,"Watts, Robinson and Nguyen",Technology,Startup,SMB,Brazil,Latin America,LinkedIn Ads,Business,Monthly,499.00,5489.00,5049.33,11,0,866,Medium Value
CMP_000023,Perez Inc,Healthcare,Small Business,SMB,Canada,North America,Google Ads,Business,Monthly,499.00,5988.00,5508.36,12,0,2191,Medium Value
CMP_000024,Morales-Jones,Finance,Startup,SMB,Canada,North America,Content Marketing,Professional,Annual,2149.20,23641.20,22381.92,11,0,628,High Value
CMP_000025,"Walter, Edwards and Rios",Finance,Small Business,SMB,Kenya,Africa,LinkedIn Ads,Professional,Monthly,199.00,2388.00,1716.36,12,0,2131,Low Value
CMP_000027,Baker and Sons,Education,Startup,SMB,Germany,Europe,Referral,Enterprise,Monthly,1500.00,0,0,0,1,110,Low Value
CMP_000029,"Ross, Robinson and Bright",Healthcare,Small Business,Mid-Market,Tanzania,Africa,Referral,Starter,Monthly,49.00,294.00,135.18,6,0,1918,Low Value
CMP_000030,"Snyder, Campos and Callahan",Professional Services,Mid-Market,SMB,Kenya,Africa,Referral,Professional,Monthly,199.00,1990.00,1430.30,10,0,1752,Low Value
CMP_000031,Burton Ltd,Technology,Startup,Mid-Market,Mexico,North America,Content Marketing,Professional,Monthly,199.00,2189.00,1573.33,11,0,1039,Low Value
CMP_000034,Frazier Inc,Professional Services,Startup,SMB,Australia,Asia-Pacific,LinkedIn Ads,Starter,Annual,529.20,6350.40,5859.84,12,0,629,Medium Value
CMP_000036,Rodriguez-Graham,Retail,Small Business,SMB,United Kingdom,Europe,Google Ads,Business,Monthly,499.00,5988.00,5508.36,12,0,1554,Medium Value
CMP_000038,"Baker, Mason and White",Retail,Small Business,SMB,Mexico,North America,Referral,Starter,Monthly,49.00,49.00,22.53,1,1,169,Low Value
CMP_000040,"Romero, Gonzalez and Brooks",Healthcare,Startup,Enterprise,United States,North America,Google Ads,Starter,Annual,529.20,5821.20,5371.52,11,0,1673,Medium Value
CMP_000041,Ryan PLC,Technology,Startup,SMB,Tanzania,Africa,Google Ads,Starter,Annual,529.20,5292.00,4883.20,10,0,2181,Medium Value
CMP_000044,Allen-Allen,Technology,Mid-Market,SMB,Argentina,Latin America,Google Ads,Starter,Monthly,49.00,588.00,270.36,12,0,1411,Low Value
CMP_000045,"Arroyo, Miller and Tucker",Technology,Startup,SMB,Chile,Latin America,Organic Search,Starter,Monthly,49.00,588.00,270.36,12,0,1874,Low Value
CMP_000046,Spence PLC,Education,Mid-Market,SMB,Kenya,Africa,Google Ads,Professional,Monthly,199.00,2189.00,1573.33,11,0,1636,Low Value
CMP_000048,"Martin, Rose and Obrien",Professional Services,Small Business,Mid-Market,Japan,Asia-Pacific,Organic Search,Business,Monthly,499.00,4491.00,4131.27,9,0,1462,Medium Value
CMP_000049,Hickman Ltd,Education,Enterprise,SMB,France,Europe,Google Ads,Professional,Monthly,199.00,2388.00,1716.36,12,0,1518,Low Value
CMP_000051,"Brooks, Lam and Hayes",Finance,Startup,SMB,Nigeria,Africa,Organic Search,Starter,Monthly,49.00,0,0,0,1,145,Low Value
CMP_000052,Walker LLC,Finance,Small Business,SMB,Nigeria,Africa,Referral,Business,Monthly,499.00,4990.00,4590.30,10,0,1268,Medium Value
CMP_000054,"Robinson, Jones and Welch",Professional Services,Startup,SMB,United States,North America,Partner,Starter,Monthly,49.00,490.00,225.30,10,0,730,Low Value
CMP_000056,Jones-Young,Retail,Small Business,Mid-Market,Nigeria,Africa,Referral,Professional,Monthly,199.00,1990.00,1430.30,10,0,1327,Low Value
CMP_000058,"Johnston, Sanchez and Kennedy",Retail,Small Business,SMB,United States,North America,Content Marketing,Professional,Monthly,199.00,2388.00,1716.36,12,0,682,Low Value
CMP_000059,Lee-Davis,Retail,Startup,SMB,Tanzania,Africa,Organic Search,Starter,Monthly,49.00,539.00,247.83,11,0,1030,Low Value
CMP_000063,Wright and Sons,Education,Startup,Enterprise,Argentina,Latin America,Content Marketing,Starter,Monthly,49.00,441.00,202.77,9,0,573,Low Value
CMP_000064,"West, Henderson and Ramirez",Education,Startup,SMB,Argentina,Latin America,LinkedIn Ads,Professional,Monthly,199.00,2189.00,1573.33,11,0,1570,Low Value
CMP_000067,Williams PLC,Healthcare,Startup,SMB,Spain,Europe,Partner,Starter,Monthly,49.00,392.00,180.24,8,0,1732,Low Value
CMP_000068,Novak and Sons,Technology,Small Business,SMB,India,Asia-Pacific,LinkedIn Ads,Starter,Monthly,49.00,490.00,225.30,10,0,1205,Low Value
CMP_000069,Russell Group,Education,Enterprise,SMB,Spain,Europe,Partner,Professional,Monthly,199.00,1990.00,1430.30,10,0,1138,Low Value
CMP_000070,Hancock Inc,Finance,Startup,SMB,France,Europe,Content Marketing,Professional,Monthly,199.00,1791.00,1287.27,9,0,836,Low Value
CMP_000071,Gray Group,Technology,Small Business,Mid-Market,Spain,Europe,Content Marketing,Starter,Monthly,49.00,490.00,225.30,10,0,1820,Low Value
