payment_id,subscription_id,company_id,region,country,persona,plan,billing_cycle,status,payment_date,revenue_month,revenue,total_cost,operating_cost,profit,profit_margin,active_customer
PAY_00000001,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-01-01,2025-01-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000002,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-02-01,2025-02-01,0.00,150.00,150.00,-150.00,0.0000,1
PAY_00000003,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-03-01,2025-03-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000004,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-04-01,2025-04-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000005,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-05-01,2025-05-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000006,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-06-01,2025-06-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000007,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-07-01,2025-07-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000008,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-08-01,2025-08-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000009,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-09-01,2025-09-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000010,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-10-01,2025-10-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000011,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-11-01,2025-11-01,1500.00,195.00,150.00,1305.00,0.8700,1
PAY_00000012,SUB_0000001,CMP_000001,Asia-Pacific,India,Product Manager,Enterprise,Monthly,Active,2025-12-01,2025-12-01,0.00,150.00,150.00,-150.00,0.0000,1
PAY_00000013,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-01-01,2025-01-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000014,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-02-01,2025-02-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000015,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-03-01,2025-03-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000016,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-04-01,2025-04-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000017,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-05-01,2025-05-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000018,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-06-01,2025-06-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000019,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-07-01,2025-07-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000020,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-08-01,2025-08-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000021,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-09-01,2025-09-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000022,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-10-01,2025-10-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000023,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-11-01,2025-11-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000024,SUB_0000002,CMP_000002,Latin America,Brazil,Developer,Starter,Monthly,Active,2025-12-01,2025-12-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000025,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-01-01,2025-01-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000026,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-02-01,2025-02-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000027,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-03-01,2025-03-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000028,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-04-01,2025-04-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000029,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-05-01,2025-05-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000030,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-06-01,2025-06-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000031,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-07-01,2025-07-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000032,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-08-01,2025-08-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000033,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-09-01,2025-09-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000034,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-10-01,2025-10-01,0.00,25.00,25.00,-25.00,0.0000,1
PAY_00000035,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-11-01,2025-11-01,0.00,25.00,25.00,-25.00,0.0000,1
PAY_00000036,SUB_0000003,CMP_000003,Africa,Kenya,Founder,Starter,Monthly,Active,2025-12-01,2025-12-01,49.00,26.47,25.00,22.53,0.4598,1
PAY_00000037,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-01-01,2025-01-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000038,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-02-01,2025-02-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000039,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-03-01,2025-03-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000040,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-04-01,2025-04-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000041,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-05-01,2025-05-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000042,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-06-01,2025-06-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000043,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-07-01,2025-07-01,529.20,40.88,25.00,488.32,0.9228,1
PAY_00000044,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-08-01,2025-08-01,0.00,25.00,25.00,-25.00,0.0000,1
PAY_00000045,SUB_0000004,CMP_000004,Africa,South Africa,Data Analyst,Starter,Annual,Active,2025-09-01,2025-09-01,529.20,40.88,25.00,488.32,0.9228,1
