company_id,company_name,industry,company_size,customer_segment,plan,total_revenue,total_profit,profit_margin,churn_flag,total_events,active_users,engagement_score,engagement_level,last_activity_date
CMP_000001,"Rodriguez, Figueroa and Sanchez",Healthcare,Enterprise,Mid-Market,Enterprise,15000.00,13050.00,87.00,0,13678,202,125222,High,2026-07-27
CMP_000002,Doyle Ltd,Finance,Startup,SMB,Starter,588.00,270.36,45.98,0,401,5,3637,High,2026-07-16
CMP_000003,"Mcclain, Miller and Henderson",Professional Services,Startup,Enterprise,Starter,490.00,225.30,45.98,0,591,4,5502,High,2026-07-23
CMP_000004,Davis and Sons,Finance,Small Business,SMB,Starter,5821.20,5371.52,92.28,0,950,15,8253,High,2026-07-15
CMP_000005,"Guzman, Hoffman and Baldwin",Retail,Small Business,Enterprise,Professional,1791.00,1287.27,71.87,0,728,13,6534,High,2026-07-13
CMP_000006,"Gardner, Robinson and Lawrence",Technology,Enterprise,Enterprise,Business,5489.00,5049.33,91.99,0,24628,324,225277,High,2026-07-27
CMP_000007,Blake and Sons,Retail,Small Business,SMB,Starter,588.00,270.36,45.98,0,312,6,2708,High,2026-07-06
CMP_000009,Garcia-James,Education,Enterprise,Mid-Market,Starter,588.00,270.36,45.98,0,22089,303,201648,High,2026-07-26
CMP_000011,Blair PLC,Technology,Mid-Market,SMB,Business,5489.00,5049.33,91.99,0,7501,98,68939,High,2026-07-24
CMP_000012,Dudley Group,Healthcare,Startup,SMB,Business,5489.00,5049.33,91.99,0,424,5,3944,High,2026-07-20
CMP_000013,Arnold Ltd,Professional Services,Small Business,Enterprise,Enterprise,18000.00,15660.00,87.00,0,608,7,5395,High,2026-07-17
CMP_000016,Galloway-Wyatt,Education,Startup,SMB,Business,48502.80,46822.68,96.54,0,30,1,293,Medium,2026-05-25
CMP_000017,James Group,Professional Services,Startup,SMB,Starter,490.00,225.30,45.98,0,118,2,1106,High,2026-05-29
CMP_000018,"Flowers, Martin and Kelly",Healthcare,Startup,Enterprise,Enterprise,18000.00,15660.00,87.00,0,206,4,1817,High,2026-07-10
CMP_000019,"Adams, Zuniga and Wong",Technology,Mid-Market,SMB,Starter,539.00,247.83,45.98,0,7223,96,66439,High,2026-07-27
