campaign_id,campaign_name,channel,campaign_type,actual_spend,acquired_customers,total_revenue,cac,roi_percentage,roas,budget_action
CAM_000166,Balanced heuristic database,Organic Search,Brand Awareness,13013.00,8,72242.40,1626.63,455.16,5.55,Maintain / Increase
CAM_000167,Synergized dynamic secured line,Partner,Brand Awareness,24817.54,6,13535.00,4136.26,-45.46,0.55,Reduce Spend
CAM_000168,Customer-focused heuristic time-frame,Google Ads,Brand Awareness,37627.97,6,9286.00,6271.33,-75.32,0.25,Reduce Spend
CAM_000169,Realigned incremental process improvement,Google Ads,Retargeting,12659.06,7,43748.40,1808.44,245.59,3.46,Maintain / Increase
CAM_000170,User-friendly coherent encoding,Content Marketing,Lead Generation,39024.70,4,3267.00,9756.18,-91.63,0.08,Reduce Spend
CAM_000171,Diverse context-sensitive installation,LinkedIn Ads,Lead Generation,50261.16,6,106801.60,8376.86,112.49,2.12,Maintain / Increase
CAM_000001,Sharable bifurcated algorithm,Google Ads,Webinar,15924.79,3,26219.20,5308.26,64.64,1.65,Review
CAM_000002,User-centric even-keeled encryption,Referral,Brand Awareness,5743.70,4,13918.40,1435.93,142.32,2.42,Maintain / Increase
CAM_000003,Face-to-face client-driven support,Google Ads,Brand Awareness,3820.36,10,87608.60,382.04,2193.20,22.93,Maintain / Increase
CAM_000004,Customer-focused systematic support,Referral,Lead Generation,20412.86,7,67202.80,2916.12,229.22,3.29,Maintain / Increase
CAM_000005,Quality-focused background parallelism,Organic Search,Lead Generation,21017.51,2,29462.40,10508.76,40.18,1.40,Reduce Spend
CAM_000006,Optimized 5thgeneration algorithm,Organic Search,Webinar,4428.45,6,153056.00,738.08,3356.20,34.56,Maintain / Increase
CAM_000007,Cross-group didactic emulation,Google Ads,Lead Generation,18009.81,0,0,0,-100.00,0.00,Reduce Spend
CAM_000008,Profit-focused real-time algorithm,Google Ads,Lead Generation,11894.17,5,28937.20,2378.83,143.29,2.43,Maintain / Increase
